year,class,task_id,answer,page_index,is_text_only,image_path,text
2012,3 und 4,A1,A,1,False,references/2012_3und4_A1.png,"A1 Ben schreibt mit Buntstiften in Großbuchstaben MATHEMATIK auf sein Übungsheft.
Für verschiedene Buchstaben nimmt er verschiedene Farben, für gleiche Buchstaben
nimmt er die gleiche Farbe. Wie viele Farben braucht Ben dafür?
(A) 7
(B) 8
(C) 9
(D) 10
(E) 11"
2012,3 und 4,A2,D,1,False,references/2012_3und4_A2.png,"A2 Auf welchem Bild sind die dunkle und die helle Fläche nicht gleich groß?
(A)
(B)
(C)
(D)
(E)"
2012,3 und 4,A3,C,1,False,references/2012_3und4_A3.png,"A3 Heute ist mein Vater mit der großen Wäsche
dran. Beim Aufhängen braucht er 4 Klammern
für die ersten 3 Handtücher. Wie viele Klammern
braucht er insgesamt, wenn er auf dieselbe Weise
alle 8 Handtücher in einer Reihe aufhängt?
(A) 4
(B) 7
(C) 9
(D) 11
(E) 16"
2012,3 und 4,A4,B,1,False,references/2012_3und4_A4.png,"A4 In einer Schachtel beﬁnden sich 3 Schachteln, und in jeder der 3 Schachteln
sind wiederum 3 Schachteln. Wie viele Schachteln sind das insgesamt?
(A) 9
(B) 13
(C) 7
(D) 14
(E) 18
A
B
C"
2012,3 und 4,A5,E,1,False,references/2012_3und4_A5.png,"A
B
C
3
2
1
A5 Jasmin hat in der rechts gezeichneten Tafel einige Felder ausgemalt,
und zwar A2, B1, B2, B3 und C3. Wie sieht die Tafel nun aus?
(A)
A
B
C
3
2
1
(B)
A
B
C
3
2
1
(C)
A
B
C
3
2
1
(D)
A
B
C
3
2
1
(E)
A
B
C
3
2
1"
2012,3 und 4,A6,E,2,False,references/2012_3und4_A6.png,"100
65
70
75
80
25
30
35
4045 5055
60
4
3
2
1
20
15
10
9
8
7
6
5
Ines
100
65
70
75
80
25
30
35
4045 5055
60
4
3
2
1
20
15
10
9
8
7
6
5
Lara
A6 Ines und Lara spielen Dart. Beide haben
3 Pfeile geworfen, wie die Bilder zeigen.
Wer hat gewonnen und mit wie vielen
Punkten Vorsprung?
(A) Ines mit 3 Punkten Vorsprung
(B) Lara mit 4 Punkten Vorsprung
(C) Ines mit 2 Punkten Vorsprung
(D) Lara mit 2 Punkten Vorsprung
(E) Ines mit 4 Punkten Vorsprung"
2012,3 und 4,A7,A,2,False,references/2012_3und4_A7.png,"A7 Im Wäldchen spielen wir oft Verstecken. Heute sind wir 13 Kinder. Boris muss suchen.
Nach einer Weile hat er 9 von uns gefunden. Wie viele sind noch versteckt?
(A) 3
(B) 4
(C) 5
(D) 9
(E) 12"
2012,3 und 4,A8,D,2,False,references/2012_3und4_A8.png,"A8 Das Jahr 2012 ist ein Schaltjahr, da hat der Februar 29 Tage. Heute, am 15. März 2012,
sind die kleinen Entenküken meines Großvaters 20 Tage alt. Wann sind sie geschlüpft?
(A) am 19. Februar
(B) am 21. Februar
(C) am 23. Februar
(D) am 24. Februar
(E) am 26. Februar
4-Punkte-Aufgaben"
2012,3 und 4,B1,E,2,False,references/2012_3und4_B1.png,"B1 Im Duschraum unserer Turnhalle mussten für Renovierungs-
arbeiten einige Bodenplatten entfernt werden. Wie viele
gestreifte Platten fehlen auf dem Bild von unserem ganz
regelmäßig ausgelegten Duschraumboden?
(A) 13
(B) 10
(C) 8
(D) 7
(E) 6"
2012,3 und 4,B2,C,2,False,references/2012_3und4_B2.png,"B2 Weil Sabinas eben gekaufter Luftballon gleich zerplatzt ist, will ihre Schwester neue
Luftballons kaufen. „Ich hab noch 5 Cent. Wenn du mir 13 Cent dazugibst, reicht es
genau, um 3 Ballons zu kaufen“, sagt sie zu Sabina. Wie teuer ist ein Luftballon?
(A) 4 Cent
(B) 5 Cent
(C) 6 Cent
(D) 8 Cent
(E) 12 Cent"
2012,3 und 4,B3,A,2,False,references/2012_3und4_B3.png,"B3 Bevor Konrad seine 20 Kekse in den Backofen schiebt, dekoriert er 15 der Kekse mit
Rosinen, dann 15 der Kekse mit Mandeln. Einige Kekse sind nun mit beidem dekoriert,
also mit Rosinen und Mandeln. Wie viele solche Kekse gibt es mindestens?
(A) 10
(B) 7
(C) 5
(D) 9
(E) 8"
2012,3 und 4,B4,E,3,False,references/2012_3und4_B4.png,"B4 Leo hat aus Karopapier 2 L-förmige Teile
ausgeschnitten.
Er schiebt sie zu verschiedenen Figuren zusammen. Wie viele der
Figuren rechts kann er so erhalten?
(A) keine
(B) eine
(C) zwei
(D) drei
(E) alle vier"
2012,3 und 4,B5,C,3,False,references/2012_3und4_B5.png,"B5 Zur Hochzeitsfeier meines Bruders haben wir auf jeden der 15 Tische einen Kerzen-
halter gestellt. In die 6 Kerzenhalter von den Großeltern steckten wir jeweils 5 Kerzen,
in alle anderen jeweils 3 Kerzen. Wie viele Kerzen waren insgesamt anzuzünden?
(A) 45
(B) 50
(C) 57
(D) 59
(E) 66"
2012,3 und 4,B6,D,3,False,references/2012_3und4_B6.png,"B6 In der Tierkinderschule unterrichtet eine alte Eule 3 Häschen, einige Lämmer sowie
4 Enten- und 2 Gänseküken. Gemeinsam zählen sie die Beine aller Tierkinder, 44 sind es.
„Nun rechnet mal, wie viele Lämmer in der Klasse sind“, spricht die Eule. Es sind
(A) 11
(B) 9
(C) 8
(D) 5
(E) 2"
2012,3 und 4,B7,C,3,False,references/2012_3und4_B7.png,"?
B7 In Aylas Dominoschlange stoßen benachbarte Steine stets
mit derselben Punktzahl aneinander. Zwei der Steine sind
aus
der
Schlange
herausgerutscht.
Ayla
hatte
in
der
ursprünglichen Schlange die Punkte gezählt – es waren 35.
Welche Punktzahl gehört an die Stelle des Fragezeichens?
(A) 1
(B) 3
(C) 4
(D) 5
(E) 6"
2012,3 und 4,B8,B,3,False,references/2012_3und4_B8.png,"B8 Tim, Paula, Jan und Nele wollen nebeneinander auf ein Foto. Paula ist Neles beste
Freundin, die beiden wollen unbedingt direkt nebeneinander stehen. Auch Jan möchte
direkt neben Paula stehen. Wie viele verschiedene Reihenfolgen der vier sind möglich?
(A) 3
(B) 4
(C) 5
(D) 6
(E) 7
5-Punkte-Aufgaben"
