model,source_file,task_id,year,class,original_task_id,math_category,is_text_only,ground_truth,prediction,is_correct,format_valid,error_type,error,inference_time,input_tokens
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_A1,2025,3und4,A1,Geometrie,False,D,B,False,True,,,0.2726,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_A2,2025,3und4,A2,Geometrie,False,C,B,False,True,,,0.27,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_A3,2025,3und4,A3,Geometrie,False,A,C,False,True,,,0.2717,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_A4,2025,3und4,A4,Arithmetik,True,E,E,True,True,,,0.2687,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_A5,2025,3und4,A5,Geometrie,False,A,D,False,True,,,0.2737,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_A6,2025,3und4,A6,Geometrie,False,B,C,False,True,,,0.269,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_A7,2025,3und4,A7,Geometrie,False,D,A,False,True,,,0.2699,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_A8,2025,3und4,A8,Arithmetik,True,E,D,False,True,,,0.267,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_B1,2025,3und4,B1,Geometrie,False,E,C,False,True,,,0.2699,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_B2,2025,3und4,B2,Arithmetik,False,E,D,False,True,,,0.2697,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_B3,2025,3und4,B3,Geometrie,False,B,C,False,True,,,0.2697,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_B4,2025,3und4,B4,Stochastik,False,E,D,False,True,,,0.271,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_B5,2025,3und4,B5,Arithmetik,False,A,C,False,True,,,0.2711,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_B6,2025,3und4,B6,Geometrie,False,C,D,False,True,,,0.2688,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_B7,2025,3und4,B7,Arithmetik,True,B,C,False,True,,,0.2705,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_B8,2025,3und4,B8,Stochastik,True,D,D,True,True,,,0.2677,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_C1,2025,3und4,C1,Arithmetik,False,D,D,True,True,,,0.2721,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_C2,2025,3und4,C2,Geometrie,False,B,B,True,True,,,0.2756,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_C3,2025,3und4,C3,Arithmetik,False,B,B,True,True,,,0.271,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_C4,2025,3und4,C4,Geometrie,False,C,A,False,True,,,0.2707,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_C5,2025,3und4,C5,Geometrie,False,D,B,False,True,,,0.2725,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_C6,2025,3und4,C6,Algebra,True,C,C,True,True,,,0.2706,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_C7,2025,3und4,C7,Geometrie,False,A,D,False,True,,,0.2677,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_3und4_C8,2025,3und4,C8,Algebra,False,C,C,True,True,,,0.2758,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_A1,2025,5und6,A1,unknown,False,E,E,True,True,,,0.2705,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_A2,2025,5und6,A2,Geometrie,False,B,B,True,True,,,0.2671,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_A3,2025,5und6,A3,Geometrie,False,D,B,False,True,,,0.2688,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_A4,2025,5und6,A4,Arithmetik,False,A,C,False,True,,,0.2708,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_A5,2025,5und6,A5,Geometrie,False,A,D,False,True,,,0.2724,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_A6,2025,5und6,A6,Arithmetik,False,B,B,True,True,,,0.2708,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_A7,2025,5und6,A7,Arithmetik,False,B,C,False,True,,,0.27,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_A8,2025,5und6,A8,Geometrie,True,C,C,True,True,,,0.2706,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_B1,2025,5und6,B1,Arithmetik,False,B,C,False,True,,,0.2687,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_B2,2025,5und6,B2,Geometrie,False,E,E,True,True,,,0.2704,352
Gemma-3-12B-vLLM,Gemma-3-12B-vLLM_results.jsonl,2025_5und6_B3,2025,5und6,B3,Arithmetik,False,D,C,False,True,,,0.2775,352
