model,task_id,year,class,original_task_id,math_category,is_text_only,ground_truth,prediction,is_correct,format_valid,error_type,inference_time,input_tokens,raw_output,reasoning,error
Ovis2.5-9B-vLLM,1998_3und4_A1,1998,3und4,A1,Arithmetik,True,D,E,False,True,,11.7373,417.0,"{
    ""answer"": ""E""
}",,
Ovis2.5-9B-vLLM,1998_3und4_A4,1998,3und4,A4,Algebra,True,B,E,False,True,,0.24350000000000002,462.0,"{
    ""answer"": ""E""
}",,
Ovis2.5-9B-vLLM,1998_3und4_B5,1998,3und4,B5,Algebra,True,C,E,False,True,,0.21530000000000002,417.0,"{
    ""answer"": ""E""
}",,
Ovis2.5-9B-vLLM,1998_3und4_C2,1998,3und4,C2,Stochastik,False,D,C,False,True,,0.34040000000000004,1022.0,"{
    ""answer"": ""C""
}",,
Ovis2.5-9B-vLLM,1998_3und4_C3,1998,3und4,C3,Arithmetik,True,E,C,False,True,,0.2189,424.0,"{
    ""answer"": ""C""
}",,
Ovis2.5-9B-vLLM,1998_3und4_C4,1998,3und4,C4,Stochastik,True,A,D,False,True,,0.26990000000000003,700.0,"{
    ""answer"": ""D""
}",,
Ovis2.5-9B-vLLM,1998_3und4_C5,1998,3und4,C5,Geometrie,False,E,B,False,True,,0.42160000000000003,1390.0,"{
    ""answer"": ""B""
}",,
Ovis2.5-9B-vLLM,1998_5und6_A1,1998,5und6,A1,unknown,False,D,D,True,True,,0.26580000000000004,687.0,"{
    ""answer"": ""D""
}",,
Ovis2.5-9B-vLLM,1998_5und6_A10,1998,5und6,A10,Geometrie,False,B,B,True,True,,0.2409,562.0,"{
    ""answer"": ""B""
}",,
Ovis2.5-9B-vLLM,1998_5und6_B1,1998,5und6,B1,Arithmetik,False,B,B,True,True,,0.25880000000000003,608.0,"{
    ""answer"": ""B""
}",,
Ovis2.5-9B-vLLM,1998_5und6_B2,1998,5und6,B2,Arithmetik,True,A,B,False,True,,0.2119,378.0,"{
    ""answer"": ""B""
}",,
Ovis2.5-9B-vLLM,1998_5und6_B3,1998,5und6,B3,Arithmetik,True,D,D,True,True,,0.23970000000000002,562.0,"{
    ""answer"": ""D""
}",,
Ovis2.5-9B-vLLM,1998_5und6_B4,1998,5und6,B4,Arithmetik,True,B,B,True,True,,0.19840000000000002,310.0,"{
    ""answer"": ""B""
}",,
